Booking ID,Customer ID,Age,Gender,Destination,Travel Mode,Package Type,Booking Date,Travel Start Date,Travel End Date,Number of Travelers,Cost per Person,Total Cost,Discount,Net Amount,Booking Source,Payment Method,Feedback Score
BK_10000,CUST_1598,39,Male,Rome,Flight,Premium,2022-07-19,2022-08-04,2022-08-10,1,2505.22,2505.22,383.43,2121.79,App,Debit Card,3
BK_10001,CUST_4258,39,Female,Tokyo,Flight,Luxury,2023-01-22,2023-03-17,2023-03-25,5,3223.31,16116.55,1248.46,14868.09,Phone,Debit Card,3
BK_10002,CUST_1749,23,Male,Bangkok,Cruise,Premium,2024-08-25,2024-10-01,2024-10-13,5,4176.98,20884.9,1311.25,19573.65,Phone,Debit Card,1
BK_10003,CUST_1704,39,Female,Tokyo,Bus,Budget,2023-12-21,2024-01-06,2024-01-21,4,2395.87,9583.48,1890.73,7692.75,Website,Debit Card,3
BK_10004,CUST_1678,27,Female,New York,Flight,Luxury,2024-11-21,2024-12-09,2024-12-20,5,3824.3,19121.5,2138.84,16982.66,Website,Bank Transfer,2
BK_10005,CUST_3655,18,Male,Sydney,Flight,Budget,2025-05-21,2025-06-25,2025-07-06,3,2655.32,7965.96,561.95,7404.01,App,Debit Card,5
BK_10006,CUST_5132,35,Male,Sydney,Flight,Standard,2023-01-25,2023-03-18,2023-03-31,4,4087.1,16348.4,869.15,15479.25,App,Debit Card,3
BK_10007,CUST_1712,69,Female,Paris,Bus,Luxury,2022-11-12,2022-12-24,2022-12-29,2,2466.96,4933.92,790.09,4143.83,App,Bank Transfer,5
BK_10008,CUST_4999,74,Female,Paris,Cruise,Premium,2023-08-19,2023-10-14,2023-10-19,4,4720.02,18880.08,3006.91,15873.17,Phone,Debit Card,1
BK_10009,CUST_4690,64,Male,Bangkok,Flight,Luxury,2024-02-22,2024-04-12,2024-04-23,5,4584.17,22920.85,3347.61,19573.24,Phone,PayPal,4
BK_10010,CUST_2393,21,Female,Cairo,Cruise,Luxury,2024-12-06,2025-01-25,2025-02-09,2,3883.66,7767.32,89.58,7677.74,Website,Bank Transfer,5
BK_10011,CUST_5534,63,Male,Tokyo,Bus,Luxury,2024-08-05,2024-09-28,2024-10-03,3,783.44,2350.32,151.71,2198.61,In-Office,PayPal,3
BK_10012,CUST_5341,38,Male,Rome,Flight,Luxury,2024-06-18,2024-08-09,2024-08-14,2,923.3,1846.6,129.38,1717.22,In-Office,Debit Card,2
BK_10013,CUST_1160,41,Female,Sydney,Cruise,Luxury,2023-08-01,2023-08-27,2023-09-01,5,2096.24,10481.2,916.08,9565.12,Website,Bank Transfer,1
BK_10014,CUST_4788,51,Female,Bangkok,Bus,Budget,2023-06-26,2023-07-17,2023-07-28,6,4882.68,29296.08,5658.11,23637.97,In-Office,Credit Card,2
BK_10015,CUST_2594,18,Female,Cairo,Bus,Budget,2025-04-05,2025-04-18,2025-05-03,3,4068.21,12204.63,1572.41,10632.22,In-Office,Debit Card,1
BK_10016,CUST_2643,25,Female,Bangkok,Train,Standard,2022-08-19,2022-09-27,2022-10-09,1,4825.53,4825.53,271.55,4553.98,App,Credit Card,3
BK_10017,CUST_5547,71,Male,Sydney,Cruise,Budget,2022-06-21,2022-07-07,2022-07-18,1,1407.05,1407.05,179.8,1227.25,In-Office,Debit Card,2
BK_10018,CUST_1890,65,Female,Sydney,Train,Standard,2023-08-25,2023-10-15,2023-10-20,2,1564.36,3128.72,329.33,2799.39,In-Office,PayPal,1
BK_10019,CUST_3434,31,Female,Cairo,Bus,Standard,2025-03-02,2025-04-14,2025-04-22,3,2818.78,8456.34,1332.2,7124.14,Website,Bank Transfer,3
BK_10020,CUST_3789,63,Female,Sydney,Cruise,Budget,2023-10-06,2023-11-07,2023-11-10,3,4392.1,13176.3,257.05,12919.25,Phone,Bank Transfer,2
BK_10021,CUST_2689,44,Female,New York,Cruise,Standard,2023-04-08,2023-06-06,2023-06-16,4,1780.77,7123.08,641.16,6481.92,Website,Debit Card,5
BK_10022,CUST_3055,21,Male,Dubai,Train,Premium,2024-02-28,2024-03-19,2024-04-01,5,2521.42,12607.1,2003.65,10603.45,Phone,PayPal,5
BK_10023,CUST_5518,61,Female,Rome,Cruise,Premium,2023-08-11,2023-09-23,2023-10-01,2,1314.93,2629.86,418.86,2211.0,App,PayPal,4
BK_10024,CUST_1370,18,Male,Tokyo,Bus,Premium,2024-02-29,2024-03-27,2024-04-10,3,2600.34,7801.02,329.57,7471.45,Website,Credit Card,5
BK_10025,CUST_3101,47,Female,Auckland,Cruise,Standard,2022-10-13,2022-11-04,2022-11-18,1,4964.52,4964.52,577.29,4387.23,In-Office,Debit Card,4
BK_10026,CUST_3001,55,Female,Cairo,Cruise,Budget,2023-02-17,2023-03-10,2023-03-18,6,3999.86,23999.16,3225.87,20773.29,App,Bank Transfer,1
BK_10027,CUST_2540,64,Male,Dubai,Bus,Standard,2023-08-13,2023-09-21,2023-09-27,2,2174.66,4349.32,424.11,3925.21,Phone,Credit Card,4
BK_10028,CUST_2566,35,Female,Dubai,Flight,Luxury,2025-04-14,2025-04-25,2025-04-28,1,632.13,632.13,13.94,618.19,Phone,Bank Transfer,3
